id,year,name
0025746,1934,The Scarlet Empress
0025803,1934,Smarty
0025878,1934,The Thin Man
0025913,1935,Triumph des Willens
0025919,1934,Twentieth Century
0025929,1934,Ukikusa monogatari
0025948,1934,Viva Villa
0026029,1935,The 39 Steps
0026138,1935,Bride of Frankenstein
0026202,1936,Cheer Up
0026362,1935,The Fixer Uppers
0026529,1935,The Informer
0026721,1935,Miss Pacific Fleet
0026743,1935,Maria Marten or The Murder in the Red Barn
0026752,1935,Mutiny on the Bounty
0026778,1935,A Night at the Opera
0026912,1935,The Raven
0026966,1935,Sanders of the River
0026971,1935,A Scream in the Night
0027075,1935,A Tale of Two Cities
0027089,1935,Thicker Than Water
0027125,1935,Top Hat
0027133,1935,Traveling Saleslady
0027194,1935,Werewolf of London
0027302,1936,Anything Goes
0027331,1936,Banjo on My Knee
0027376,1936,The Bohemian Girl
0027462,1936,Conflict
0027478,1936,Le  de Monsieur Lange
0027481,1936,The Crimes of Stephen Hawke
0027532,1936,Dodsworth
0027630,1936,Follow the Fleet
0027652,1936,Fury
0027657,1936,The Garden of Allah
0027686,1936,Gold Diggers of 1937
0027698,1936,The Great Ziegfeld
0027752,1936,Hitori musuko
0027800,1936,The Invisible Ray
0027893,1936,Little Lord Fauntleroy
0027948,1936,Mary of Scotland
0027977,1936,Modern Times
0028010,1936,My Man Godfrey
0028021,1936,Naniwa erejЊ
0028030,1936,Night Mail
0028074,1935,The Pace That Kills
0028212,1936,Sabotage
0028231,1936,Secret Agent
0028241,1936,Shadow of Chinatown
0028333,1936,Swing Time
0028346,1936,Tell Your Children
0028358,1936,Things to Come
0028557,1937,Affairs of Cappy Ricks
0028597,1937,The Awful Truth
0028683,1936,Camille
0028691,1937,Captains Courageous
0028772,1937,A Day at the Races
0028950,1937,La grande illusion
0029146,1937,The Life of Emile Zola
0029179,1937,Madame X
0029192,1937,Make Way for Tomorrow
0029201,1936,The Man Who Could Work Miracles
0029284,1940,My Favorite Wife
0029442,1937,The Prisoner of Zenda
0029499,1937,Rosalie
0029539,1937,Seventh Heaven
0029546,1937,Shall We Dance
0029583,1937,Snow White and the Seven Dwarfs
0029606,1937,A Star Is Born
0029608,1937,Stella Dallas
0029658,1937,They Wont Forget
0029671,1937,The Ticket of Leave Man
0029725,1937,Varsity Show
0029747,1937,Way Out West
0029808,1937,You Only Live Once
0029811,1937,Young and Innocent
0029843,1938,The  s of Robin Hood
0029850,1938,Aleksandr Nevskiy
0029892,1937,The Bad Man of Brimstone
0029923,1938,Block-Heads
0029947,1938,Bringing Up Baby
0029989,1938,Child Bride
0029992,1938,A Christmas Carol
0030241,1938,Holiday
0030341,1938,The Lady Vanishes
0030372,1938,My Irish Molly
0030413,1937,Mannequin
0030637,1938,Pygmalion
0030643,1938,Le quai des brumes
0030657,1938,Rebecca of Sunnybrook Farm
0030732,1938,Service de Luxe
0030744,1938,The Shopworn Angel
0030824,1938,Swiss Miss
0030848,1938,Test Pilot
0030879,1938,Too Hot to Handle
0030922,1938,Vacation from Love
0030993,1938,You Cant Take It with You
0031022,1939,The  s of Sherlock Holmes
0031054,1939,Arrest Bulldog Drummond
0031055,1939,The Arsenal Stadium
0031060,1939,At the Circus
0031088,1939,Beau Geste
0031143,1939,The Cat and the Canary
0031229,1939,The Devils Daughter
0031235,1939,Dodge City
0031252,1939,Drums Along the Mohawk
0031322,1939,The Flying Deuces
0031334,1939,The Four Feathers
0031359,1940,Gaslight
0031381,1939,Gone with the Wind
0031385,1939,Goodbye Mr. Chips
0031394,1940,The Green Hornet
0031448,1939,The Hound of the Baskervilles
0031455,1939,The Hunchback of Notre Dame
0031505,1939,Jamaica Inn
0031514,1939,Le jour se lЉve
0031580,1939,The Little Princess
0031602,1939,Made for Each Other
0031647,1939,Midnight
0031679,1939,Mr. Smith Goes to Washington
0031725,1939,Ninotchka
0031742,1939,Of Mice and Men
0031754,1939,On Borrowed Time
0031762,1939,Only Angels Have Wings
0031796,1939,The Phantom Creeps
0031826,1939,The Private Lives of Elizabeth and Essex
0031828,1940,The Proud Valley
0031851,1939,The Return of Doctor X
0031867,1939,The Roaring Twenties
0031877,1939,Rose of Washington Square
0031885,1939,La rЉgle du jeu
0031971,1939,Stagecoach
0032045,1939,Torchy Runs for Mayor
0032138,1939,The Wizard of Oz
0032143,1939,The Women
0032145,1939,Wuthering Heights
0032155,1939,Young Mr. Lincoln
0032194,1940,All This and Heaven Too
0032234,1940,The Bank Dick
0032258,1940,Black Friday
0032290,1939,Buck Rogers
0032338,1940,Christmas in July
0032339,1940,A Chump at Oxford
0032366,1940,Crimes at the Dark House
0032390,1940,The Devil Bat
0032455,1940,Fantasia
0032484,1940,Foreign Correspondent
0032536,1940,Go West
0032551,1940,The Grapes of Wrath
0032553,1940,The Great Dictator
0032554,1940,The Great McGinty
0032559,1940,The Green Hornet Strikes Again
0032599,1940,His Girl Friday
0032609,1940,The House Across the Bay
0032643,1940,It All Came True
0032676,1940,Knute Rockne All American
0032762,1940,The Mark of Zorro
0032828,1940,My Little Chickadee
0032842,1940,Night Train to Munich
0032863,1940,The Old South
0032904,1940,The Philadelphia Story
0032910,1940,Pinocchio
0032946,1940,Primrose Path
0032976,1940,Rebecca
0033022,1940,Saps at Sea
0033028,1940,The Sea Hawk
0033045,1940,The Shop Around the Corner
0033105,1940,Strange Cargo
0033149,1940,They Drive by Night
0033152,1940,The Thief of Bagdad
0033234,1940,Wagon Train
0033317,1941,s of Captain Marvel
0033373,1941,Ball of Fire
0033467,1941,Citizen Kane
0033517,1942,A Date with the Falcon
0033553,1941,Dr. Jekyll and Mr. Hyde
0033558,1941,Dressed to Kill
0033563,1941,Dumbo
0033650,1941,The Gay Falcon
0033717,1941,High Sierra
0033729,1941,How Green Was My Valley
0033804,1941,The Lady Eve
0033836,1941,The Little Foxes
0033867,1941,Maisie Was a Lady
0033870,1941,The Maltese Falcon
0033871,1941,A Man Betrayed
0033874,1942,The Man Who Came to Dinner
0033879,1941,Man Made Monster
0033891,1941,Meet John Doe
0033902,1941,Men of Boys Town
0033922,1941,Mr. &amp; Mrs. Smith
0033945,1941,Never Give a Sucker an Even Break
0034167,1941,Sergeant York
0034175,1941,The Shanghai Gesture
0034204,1941,The Smiling Ghost
0034232,1941,Steel Against the Sky
0034236,1941,The Strawberry Blonde
0034240,1941,Sullivans Travels
0034248,1941,Suspicion
0034298,1941,Todake no kyodai
0034386,1941,When Ladies Meet
0034398,1941,The Wolf Man
0034428,1942,Across the Pacific
0034433,1942,The Affairs of Martha
0034458,1942,Andy Hardys Double Life
0034478,1942,Lassassin habite... au 21
0034492,1942,Bambi
0034522,1942,The Black Swan
0034546,1942,Bowery at Midnight
0034583,1942,Casablanca
0034587,1942,Cat People
0034591,1942,Chichi ariki
0034618,1942,The Courtship of Andy Hardy
0034711,1942,Eyes in the Night
0034716,1942,The Falcon Takes Over
0034717,1942,The Falcons Brother
0034734,1942,The First of the Few
0034778,1942,Gentleman Jim
0034786,1942,The Ghost of Frankenstein
0034798,1942,The Glass Key
0034862,1942,Holiday Inn
0034891,1942,In Which We Serve
0034978,1942,Listen to Britain
0035015,1942,The Magnificent Ambersons
0035017,1943,La main du diable
0035093,1942,Mrs. Miniver
0035105,1942,My Sister Eileen
0035140,1942,Now Voyager
0035153,1942,One of Our Aircraft Is Missing
0035160,1943,Ossessione
0035238,1942,Random Harvest
0035279,1942,Saboteur
0035308,1942,Seven Miles from Alcatraz
0035317,1942,Sherlock Holmes and the Secret Weapon
0035318,1942,Sherlock Holmes and the Voice of Terror
0035369,1942,The Spoilers
0035417,1942,The Talk of the Town
0035421,1942,Ten Gentlemen from West Point
0035423,2001,Kate &amp; Leopold
0035432,1942,This Gun for Hire
0035446,1942,To Be or Not to Be
0035521,1942,Les visiteurs du soir
0035575,1942,Yankee Doodle Dandy
0035583,1942,You Were Never Lovelier
0035608,1943,in the North Atlantic
0035616,1943,Air Force
0035640,1943,The Ape Man
0035733,1943,Chicken Little
0035798,1943,The Desperadoes
0035807,1943,Distinto amanecer
0035854,1943,The Falcon Strikes Back
0035855,1943,The Falcon and the Co-eds
0035856,1943,The Falcon in Danger
0035884,1943,Five Graves to Cairo
0035899,1943,Frankenstein Meets the Wolf Man
0035957,1943,Guadalcanal Diary
0035966,1943,Hangmen Also Die
0035979,1943,Heaven Can Wait
0036027,1943,I Walked with a Zombie
0036037,1943,Immortal Sergeant
0036098,1943,Lassie Come Home
0036112,1943,The Life and Death of Colonel Blimp
0036126,1943,Madame Curie
0036154,1943,Meshes of the Afternoon
0036189,1943,of the 13th Guest
0036217,1943,The North Star
0036233,1943,Old Mother Riley Detective
0036244,1943,The Ox-Bow Incident
0036261,1943,Phantom of the Opera
0036342,1943,Shadow of a Doubt
0036349,1943,Sherlock Holmes in Washington
0036395,1943,A Stranger in Town
0036407,1943,Swing Shift Maisie
0036506,1943,Vredens dag
0036515,1943,Watch on the Rhine
0036549,1943,Yellow Canary
0036613,1944,Arsenic and Old Lace
0036621,1944,Aventure malgache
0036625,1944,Barbary Coast Gent
0036641,1944,Between Two Worlds
0036671,1944,Bride by Mistake
0036673,1944,Broadway Rhythm
0036677,1944,Buffalo Bill
0036695,1944,A Canterbury Tale
0036731,1944,Cry of the Werewolf
0036775,1944,Double Indemnity
0036777,1944,Dragon Seed
0036810,1944,The Falcon in Hollywood
0036855,1944,Gaslight
0036868,1946,The Best Years of Our Lives
0036872,1944,Going My Way
0036891,1944,Hail the Conquering Hero
0036914,1944,Hets
0036940,1944,Ill Be Seeing You
0036969,1943,Jane Eyre
0037008,1944,Laura
0037017,1944,Lifeboat
0037027,1944,Lost in a Harem
0037059,1944,Meet Me in St. Louis
0037075,1944,Ministry of Fear
0037101,1944,Murder My Sweet
0037120,1944,National Velvet
0037179,1945,A Place of Ones Own
0037318,1944,Strangers in the Night
0037323,1944,The Sullivans
0037382,1944,To Have and Have Not
0037415,1944,The Uninvited
0037469,1944,The Woman in the Window
0037508,1945,Along Came Jones
0037514,1945,Anchors Aweigh
0037515,1945,And Then There Were None
0037536,1945,The Bells of St. Marys
0037549,1945,The Body Snatcher
0037558,1945,Brief Encounter
0037627,1945,Dakota
0037630,1945,Les dames du Bois de Boulogne
0037635,1945,Dead of Night
0037638,1945,Detour
0037674,1945,Les enfants du paradis
0037690,1945,The Falcon in San Francisco
0037736,1945,George Whites Scandals
0037749,1945,The Great Flamarion
0037795,1945,The House on 92nd Street
0037800,1945,I Know Where Im Going
0037820,1945,Isle of the Dead
0037865,1945,Leave Her to Heaven
0037884,1945,The Lost Weekend
0037913,1945,Mildred Pierce
0037931,1945,Murder He Says
0037981,1947,La perla
0037988,1945,The Picture of Dorian Gray
0038057,1945,Scarlet Street
0038108,1945,The Spanish Main
0038109,1945,Spellbound
0038213,1945,The Valley of Decision
0038238,1945,The Way to the Stars
0038279,1947,13 Rue Madeleine
0038289,1946,I See a Dark Stranger
0038300,1946,Angel on My Shoulder
0038341,1946,Because of Him
0038348,1946,La belle et la b€te
0038355,1946,The Big Sleep
0038363,1945,Blithe Spirit
0038369,1946,The Blue Dahlia
0038417,1946,Cloak and Dagger
0038455,1946,The Dark Mirror
0038461,1946,Deception
0038492,1946,Dragonwyck
0038505,1946,Easy to Wed
0038559,1946,Gilda
0038574,1946,Great Expectations
0038577,1946,Green for Danger
0038615,1946,The Hoodlum Saint
0038650,1946,Its a Wonderful Life
0038669,1946,The Killers
0038727,1946,Margie
0038733,1946,A Matter of Life and Death
0038762,1946,My Darling Clementine
0038777,1946,A Night in Casablanca
0038787,1946,Notorious
0038823,1946,Pais…
0038854,1946,The Postman Always Rings Twice
0038855,1946,The Potted Psalm
0038890,1945,Roma citt… aperta
0038934,1946,She-Wolf of London
0038937,1946,Shock
0038975,1945,The Spiral Staircase
0038984,1946,A Stolen Life
0038988,1946,The Strange Love of Martha Ivers
0038991,1946,The Stranger
0039017,1946,Terror by Night
0039035,1946,Till the Clouds Roll By
0039116,1945,Ziegfeld Follies
0039152,1947,Angel and the Badman
0039169,1947,The Bachelor and the Bobby-Soxer
0039192,1947,Black Narcissus
0039211,1947,Born to Kill
0039220,1947,Brighton Rock
0039266,1947,Christmas Eve
0039294,1947,Daisy Kenyon
0039305,1947,Dead Reckoning
0039306,1947,Dear Murderer
0039340,1947,Dreams That Money Can Buy
0039394,1947,The Foxes of Harrow
0039416,1947,Gentlemans Agreement
0039417,1948,Germania anno zero
0039420,1947,The Ghost and Mrs. Muir
0039428,1947,Golden Earrings
0039502,1947,It Happened on Fifth Avenue
0039566,1947,Life with Father
0039589,1947,Lured
0039594,1946,The Magic Bow
0039595,1947,Magic Town
0039628,1947,Miracle on 34th Street
0039631,1947,Monsieur Verdoux
0039651,1947,Nagaya shinshiroku
0039677,1947,Odd Man Out
0039689,1947,Out of the Past
0039694,1947,The Paradine Case
0039725,1947,Possessed
0039743,1947,Queen of the Amazons
0039761,1947,Repeat Performance
0039808,1947,The Secret Life of Walter Mitty
0039822,1949,Le silence de la mer
0039826,1947,Sinbad the Sailor
0039834,1947,Skepp till India land
0039927,1947,Tycoon
0039935,1947,Undercover Maisie
0039998,1947,The Wistful Widow of Wagon Gap
0040068,1948,Bud Abbott Lou Costello Meet Frankenstein
0040160,1948,The Big Clock
0040185,1948,The Boy with Green Hair
0040202,1948,Call Northside 777
0040242,1948,Command Decision
0040271,1948,A Date with Judy
0040308,1948,Easter Parade
0040427,1948,He Walked by Night
0040497,1949,Jour de f€te
0040499,1948,June Bride
0040505,1948,Kaze no naka no mendori
0040506,1948,Key Largo
0040522,1948,Ladri di biciclette
0040525,1947,The Lady from Shanghai
0040536,1948,Letter from an Unknown Woman
0040559,1952,La macchina ammazzacattivi
0040636,1948,The Naked City
0040652,1948,The Noose Hangs High
0040662,1948,Oliver Twist
0040705,1948,Portrait of Jennie
0040723,1948,Raw Deal
0040724,1948,Red River
0040725,1948,The Red Shoes
0040746,1948,Rope
0040751,1948,Ruthless
0040755,1949,Salўn M‚xico
0040766,1947,Secret Beyond the Door...
0040795,1948,Sitting Pretty
0040806,1948,The Snake Pit
0040866,1948,La terra trema Episodio del mare
0040876,1948,The Three Musketeers
0040897,1948,The Treasure of the Sierra Madre
0040970,1948,The Winslow Boy
0040978,1948,Yellow Sky
0040979,1948,Yoidore tenshi
0041082,1949,A-Haunting We Will Go
0041085,1949,Abbott and Costello Meet the Killer Boris Karloff
0041090,1949,Adams Rib
0041094,1949,The  s of Ichabod and Mr. Toad
0041113,1949,All the Kings Men
0041154,1949,Banshun
0041158,1949,The Barkleys of Broadway
0041162,1949,Batman and Robin
0041175,1949,The Big Cat
0041178,1949,The Big Steal
0041238,1949,Challenge to Lassie
0041245,1949,The Chiltern Hundreds
0041259,1949,A Connecticut Yankee in King Arthurs Court
0041300,1949,The Doctor and the Girl
0041386,1949,The Fountainhead
0041387,1950,Francis
0041423,1949,El gran calavera
0041452,1949,The Heiress
0041473,1949,Holiday Affair
0041507,1949,In the Good Old Summertime
0041509,1949,The Inspector General
0041546,1949,Kind Hearts and Coronets
0041587,1949,A Letter to Three Wives
0041604,1949,Love Happy
0041652,1949,Miss Grant Takes Richmond
0041671,1949,My Dream Is Yours
0041699,1949,Nora inu
0041716,1949,On the Town
0041718,1949,One Last Fling
0041719,1950,Orph‚e
0041737,1949,Passport to Pimlico
0041761,1949,Port of New York
0041786,1949,The Reckless Moment
0041841,1949,Sands of Iwo Jima
0041855,1949,The Secret Garden
0041866,1949,She Wore a Yellow Ribbon
0041931,1950,Stromboli
0041944,1949,Take Me Out to the Ball Game
0041955,1949,That Forsyte Woman
0041959,1949,The Third Man
0041996,1949,Twelve OClock High
0042004,1949,Under Capricorn
0042040,1949,Whisky Galore
0042041,1949,White Heat
0042176,1950,711 Ocean Drive
0042179,1950,Abbott and Costello in the Foreign Legion
0042192,1950,All About Eve
0042200,1950,Annie Get Your Gun
0042208,1950,The Asphalt Jungle
0042233,1950,Bawre Nain
0042276,1950,Born Yesterday
0042332,1950,Cinderella
0042369,1950,D.O.A.
0042384,1951,Day of the Fight
0042393,1950,Destination Moon
0042436,1950,Les enfants terribles
0042524,1950,The Great Rupert
0042530,1950,Deadly Is the Female
0042541,1950,The Happiest Days of Your Life
0042546,1950,Harvey
0042593,1950,In a Lonely Place
0042634,1950,Key to the City
0042779,1950,Nancy Goes to Rio
0042786,1950,The Next Voice You Hear...
0042788,1950,Night and the City
0042792,1950,No Way Out
0042804,1950,Los olvidados
0042819,1950,Our Very Own
0042869,1950,Quicksand
0042876,1950,Rashmon
0042895,1950,Rio Grande
0042906,1950,La ronde
0042958,1950,Sh–bun
0042960,1949,Side Street
0042980,1950,So Long at the Fair
0042994,1950,Stage Fright
0043012,1950,Summer Stock
0043014,1950,Sunset Blvd.
0043048,1950,Till gldje
0043123,1950,The West Point Story
0043132,1950,Where the Sidewalk Ends
0043137,1950,Winchester 73
0043153,1950,Young Man with a Horn
0043255,1951,Abbott and Costello Meet the Invisible Man
0043262,1951,Across the Wide Missouri
0043265,1951,The African Queen
0043274,1951,Alice in Wonderland
0043278,1951,An American in Paris
0043286,1951,Angels in the Outfield
0043303,1951,Lauberge rouge
0043313,1951,Bakush–
0043332,1952,Bellissima
0043335,1951,Best of the Badmen
0043338,1951,Ace in the Hole
0043379,1951,Captain Horatio Hornblower R.N.
0043425,1951,Comin Round the Mountain
0043456,1951,The Day the Earth Stood Still
0043461,1951,The Desert Fox The Story of Rommel
0043511,1952,Europa 51
0043547,1951,Flying Leathernecks
0043548,1951,Flying Padre An RKO-Pathe Screenliner
0043560,1951,Fourteen Hours
0043614,1951,Hakuchi
0043618,1951,Happy Go Lovely
0043639,1951,La hija del enga¤o
0043727,1951,Laughter in Paradise
0043728,1951,The Law and the Lady
0043778,1951,The Man from Planet X
0043781,1951,Man in the Saddle
0043809,1951,Miracolo a Milano
0043813,1951,The Model and the Marriage Broker
0043827,1951,My Favorite Spy
0043852,1951,Night Into Morning
0043859,1951,No Highway
0043915,1951,People Will Talk
0043924,1951,A Place in the Sun
0043949,1951,Quo Vadis
0043961,1951,The Red Badge of Courage
0043983,1951,Royal Wedding
0044000,1952,Lo sceicco bianco
0044008,1951,Scrooge
0044060,1951,Sommarlek
0044072,1951,The Steel Helmet
0044079,1951,Strangers on a Train
0044081,1951,A Streetcar Named Desire
0044103,1951,The Tales of Hoffmann
0044121,1951,The Thing from Another World
0044314,1952,5 Fingers
0044333,1952,Against All Flags
0044357,1952,Angel Face
0044364,1951,Another Mans Poison
0044386,1954,Robinson Crusoe
0044391,1952,The Bad and the Beautiful
0044413,1952,Bend of the River
0044453,1953,El bruto
0044487,1952,Le carrosse dor
0044509,1952,Come Back Little Sheba
0044515,1953,Cosh Boy
0044517,1952,The Crimson Pirate
0044672,1952,The Greatest Show on Earth
0044685,1952,Hans Christian Andersen
0044706,1952,High Noon
0044741,1952,Ikiru
0044744,1952,The Importance of Being Earnest
0044749,1953,Innocents in Paris
0044760,1952,Ivanhoe
0044789,1952,Kansas City Confidential
0044793,1952,Karumen junjo su
0044821,1952,Lambert the Sheepish Lion
0044829,1951,The Lavender Hill Mob
0044837,1952,Limelight
0044860,1952,The Lusty Men
0044876,1951,The Man in the White Suit
0044916,1952,Monkey Business
0044926,1952,Moulin Rouge
0044937,1952,My Cousin Rachel
0044953,1953,The Naked Spur
0044958,1952,Neighbours
0045012,1952,Pat and Mike
0045029,1952,Phone Call from a Stranger
0045034,1952,Le plaisir
0045037,1952,Plutos Christmas Tree
0045053,1952,The Prisoner of Zenda
0045061,1952,The Quiet Man
0045112,1952,Saikaku ichidai onna
0045152,1952,Singin in the Rain
0045186,1952,The Star
0045190,1952,The Steel Trap
0045192,1952,The Stooge
0045223,1955,One Way Ticket to Hell
0045257,1952,Treasure Hunt
0045274,1952,Umberto D.
